1,-10,5,-2,-2,Success
2,-10,6,-1,-1,Success
3,-10,49,0,0,Success
4,-10,50,0,0,Success
5,-10,27,0,0,Success
6,-9,5,-1,-1,Success
7,-9,6,-1,-1,Success
8,-9,49,0,0,Success
9,-9,50,0,0,Success
10,-9,27,0,0,Success
11,29,5,5,5,Success
12,29,6,4,4,Success
13,29,49,0,0,Success
14,29,50,0,0,Success
15,29,27,1,1,Success
16,30,5,6,6,Success
17,30,6,5,5,Success
18,30,49,0,0,Success
19,30,50,0,0,Success
20,30,27,1,1,Success
21,10,5,2,2,Success
22,10,6,1,1,Success
23,10,49,0,0,Success
24,10,50,0,0,Success
25,10,27,0,0,Success
