1,-100,-50,5000,5000,Success
2,-100,-49,4900,4900,Success
3,-100,49,-4900,-4900,Success
4,-100,50,-5000,-5000,Success
5,-100,0,0,0,Success
6,-99,-50,4950,4950,Success
7,-99,-49,4851,4851,Success
8,-99,49,-4851,-4851,Success
9,-99,50,-4950,-4950,Success
10,-99,0,0,0,Success
11,99,-50,-4950,-4950,Success
12,99,-49,-4851,-4851,Success
13,99,49,4851,4851,Success
14,99,50,4950,4950,Success
15,99,0,0,0,Success
16,100,-50,-5000,-5000,Success
17,100,-49,-4900,-4900,Success
18,100,49,4900,4900,Success
19,100,50,5000,5000,Success
20,100,0,0,0,Success
21,0,-50,0,0,Success
22,0,-49,0,0,Success
23,0,49,0,0,Success
24,0,50,0,0,Success
25,0,0,0,0,Success
