1,10,-1000,1010,1010,Success
2,10,-999,1009,1009,Success
3,10,999,-989,-989,Success
4,10,1000,-990,-990,Success
5,10,0,10,10,Success
6,11,-1000,1011,1011,Success
7,11,-999,1010,1010,Success
8,11,999,-988,-988,Success
9,11,1000,-989,-989,Success
10,11,0,11,11,Success
11,999,-1000,1999,1999,Success
12,999,-999,1998,1998,Success
13,999,999,0,0,Success
14,999,1000,-1,-1,Success
15,999,0,999,999,Success
16,1000,-1000,2000,2000,Success
17,1000,-999,1999,1999,Success
18,1000,999,1,1,Success
19,1000,1000,0,0,Success
20,1000,0,1000,1000,Success
21,505,-1000,1505,1505,Success
22,505,-999,1504,1504,Success
23,505,999,-494,-494,Success
24,505,1000,-495,-495,Success
25,505,0,505,505,Success
