1,-10,-50,-10,-70,-70,Success
2,-10,-50,-9,-69,-69,Success
3,-10,-50,9,-51,-51,Success
4,-10,-50,10,-50,-50,Success
5,-10,-50,0,-60,-60,Success
6,-10,-49,-10,-69,-69,Success
7,-10,-49,-9,-68,-68,Success
8,-10,-49,9,-50,-50,Success
9,-10,-49,10,-49,-49,Success
10,-10,-49,0,-59,-59,Success
11,-10,499,-10,479,479,Success
12,-10,499,-9,480,480,Success
13,-10,499,9,498,498,Success
14,-10,499,10,499,499,Success
15,-10,499,0,489,489,Success
16,-10,500,-10,480,480,Success
17,-10,500,-9,481,481,Success
18,-10,500,9,499,499,Success
19,-10,500,10,500,500,Success
20,-10,500,0,490,490,Success
21,-10,225,-10,205,205,Success
22,-10,225,-9,206,206,Success
23,-10,225,9,224,224,Success
24,-10,225,10,225,225,Success
25,-10,225,0,215,215,Success
26,-9,-50,-10,-69,-69,Success
27,-9,-50,-9,-68,-68,Success
28,-9,-50,9,-50,-50,Success
29,-9,-50,10,-49,-49,Success
30,-9,-50,0,-59,-59,Success
31,-9,-49,-10,-68,-68,Success
32,-9,-49,-9,-67,-67,Success
33,-9,-49,9,-49,-49,Success
34,-9,-49,10,-48,-48,Success
35,-9,-49,0,-58,-58,Success
36,-9,499,-10,480,480,Success
37,-9,499,-9,481,481,Success
38,-9,499,9,499,499,Success
39,-9,499,10,500,500,Success
40,-9,499,0,490,490,Success
41,-9,500,-10,481,481,Success
42,-9,500,-9,482,482,Success
43,-9,500,9,500,500,Success
44,-9,500,10,501,501,Success
45,-9,500,0,491,491,Success
46,-9,225,-10,206,206,Success
47,-9,225,-9,207,207,Success
48,-9,225,9,225,225,Success
49,-9,225,10,226,226,Success
50,-9,225,0,216,216,Success
51,99,-50,-10,39,39,Success
52,99,-50,-9,40,40,Success
53,99,-50,9,58,58,Success
54,99,-50,10,59,59,Success
55,99,-50,0,49,49,Success
56,99,-49,-10,40,40,Success
57,99,-49,-9,41,41,Success
58,99,-49,9,59,59,Success
59,99,-49,10,60,60,Success
60,99,-49,0,50,50,Success
61,99,499,-10,588,588,Success
62,99,499,-9,589,589,Success
63,99,499,9,607,607,Success
64,99,499,10,608,608,Success
65,99,499,0,598,598,Success
66,99,500,-10,589,589,Success
67,99,500,-9,590,590,Success
68,99,500,9,608,608,Success
69,99,500,10,609,609,Success
70,99,500,0,599,599,Success
71,99,225,-10,314,314,Success
72,99,225,-9,315,315,Success
73,99,225,9,333,333,Success
74,99,225,10,334,334,Success
75,99,225,0,324,324,Success
76,100,-50,-10,40,40,Success
77,100,-50,-9,41,41,Success
78,100,-50,9,59,59,Success
79,100,-50,10,60,60,Success
80,100,-50,0,50,50,Success
81,100,-49,-10,41,41,Success
82,100,-49,-9,42,42,Success
83,100,-49,9,60,60,Success
84,100,-49,10,61,61,Success
85,100,-49,0,51,51,Success
86,100,499,-10,589,589,Success
87,100,499,-9,590,590,Success
88,100,499,9,608,608,Success
89,100,499,10,609,609,Success
90,100,499,0,599,599,Success
91,100,500,-10,590,590,Success
92,100,500,-9,591,591,Success
93,100,500,9,609,609,Success
94,100,500,10,610,610,Success
95,100,500,0,600,600,Success
96,100,225,-10,315,315,Success
97,100,225,-9,316,316,Success
98,100,225,9,334,334,Success
99,100,225,10,335,335,Success
100,100,225,0,325,325,Success
101,45,-50,-10,-15,-15,Success
102,45,-50,-9,-14,-14,Success
103,45,-50,9,4,4,Success
104,45,-50,10,5,5,Success
105,45,-50,0,-5,-5,Success
106,45,-49,-10,-14,-14,Success
107,45,-49,-9,-13,-13,Success
108,45,-49,9,5,5,Success
109,45,-49,10,6,6,Success
110,45,-49,0,-4,-4,Success
111,45,499,-10,534,534,Success
112,45,499,-9,535,535,Success
113,45,499,9,553,553,Success
114,45,499,10,554,554,Success
115,45,499,0,544,544,Success
116,45,500,-10,535,535,Success
117,45,500,-9,536,536,Success
118,45,500,9,554,554,Success
119,45,500,10,555,555,Success
120,45,500,0,545,545,Success
121,45,225,-10,260,260,Success
122,45,225,-9,261,261,Success
123,45,225,9,279,279,Success
124,45,225,10,280,280,Success
125,45,225,0,270,270,Success
